title,description
Turkcell Superbox İnternet Bağlantı Sorunu Ve Müşteri Hizmetleri İlgisizliği,“Teşekkürler Turkcell”
Turkcell'in 1 Günde 1 Aylık Fatura Tutarı İstemesi!,“Müşteri hizmetlerinden arayan Taha beye teşekkürlerimi iletiyorum. Konuyla ilgili çok yardımcı oldu.”
Denizbank Bankasından Turkcell Faturama Otomatik Ödeme Talimatı,“Hızlı çözüm için teşekkürler”
Turkcell Htp Clicknplay Diye Bir Şey Faturama Para Yansıttı,"“Teşekkür ederim, Turkcell iki gün içinde sonuca ulaşıp dönüş yaptı.”"
Turkcell Sim Kart Aktivasyonunda E-Devlet Hatası Ve İletişim Sorunu,“Teşekkürler.”
Turkcell Uygulamasında Yüklenmeyen Paket Ve Paramın Kesilmesi,“Sorun çözüldü teşekkür ederim.”
"Turkcell Çekim Kalitesi Nin Yetersizliği, Ve Mobil Veri Çekmeme Sorunu",“Çözüm sağlandı teşekkürler”
Turkcell Bilgim Dışında İnternet Ücreti Eklenmiş,"“Sorunumu kısa sürede inisiyatif alarak çözdükler, görüştüğüm temsilcinin yaklaşımı da çok iyiydi, ilgili ekibe teşekkür ederim.”"
Turkcell Faturamın Haddinden Fazla Gelmesi,“Yetkili kisi arayıp durumu çözdü ilgilendi iadesini yaptı. Bir sonraki faturadan düşüm oldu. Teşekkürler...”
Turkcell Cayma Bedeli İadesi,“Şikayetim kısa sürede çözüldü. Yapılan yanlışın arkasında durulması memnun etti. Teşekkürler...”
Turkcell Avantaj Paketi İadesi,“Çözüm ekibine teşekkür ederim.”
Turkcell Yurt Dışında Olmadığım Halde,“Emine hanıma çok teşekkür ederim.”
Turkcell Yanlış Yansıtılan Ödemeler Ve İade Sorunu,“Sorunum çözümlendi ve müşteri temsilcisi arkadaşta çok ilgili ve sevecen yaklaştı Teşekkürler”
Turkcell Superbox Zte Modem Pişmanlık Ve Hizmet Sunmadıkları Halde Cayma Bedeli,“Her şey için teşekkür ederim baştan bir olumsuzluk oldu ama sonrasında çok çabuk aksiyon alındı ve sorun çözüldü beni bilgilendiren bundan sonrası için de yol gösteren Cansu Hanıma da ayrıca teşekkür ederim”
Turkcell Tyg Yurt Dışı Faturası,“Ücret iadesi yapıldı. Teşekkürler...”
Turkcell Rooming Ücreti Yansıtmış İptal Etmiyor.,“Sorunu erkenden çözdüğü için teşekkür ederim”
Turkcell Onay Almadan Paket Tanımlayıp Faturaya Yansıtıldı!,“Teşekkür”
Turkcell Yanlış Ücretlendirme Ve Müşteri Temsilcisi,"“210 TL şeklinde faturama yansıtılan ücret iptal edilmiştir.
Yardımlarınız için teşekkür eder 
İyi çalışmalar dilerim.”"
Turkcell Tarafından Htp Click N Play Adlı Ücret Faturama Yansıtıldı.,“Teşekkür ederiz”
Turkcell İnternet Fatura Aşımı,“Müşteri hizmetlerinin ilgisiz ve sonuçsuz tavrı sonucu kırgınlığımı buradan ifade etmiştim. Geri bildirim yaparak inceleyeceklerini belirttiler teşekkürler.”
Turkcell Mağduriyeti Pakete Ek Ücret Talebi.,“Problemin çözümünden memnun kaldım. Turkcell in eksiklerini ilettim. Umarım düzeltilir aynı şekilde başka mağduriyetler yaşanmaz. Teşekkürler...”
Turkcell Ve Paycell Haksız Fatura Ücretim,“Sorun çözüldü teşekkürler.”
Turkcell Htp Click N Play Den Faturama 229 ₺ Yansımış Diye Mesaj Geldi.,“Çok kısa bir süre içinde dönüş yapıldı ce ücret iadesi yapılacağı bilgisi verildi. Teşekkürler...”
Turkcell Sürekli İnternet Aşımı,“Şikayetimi bildirir bildirmez aradılar ve sorunda çözüldü müşteri temsilcisi de çok ilgilendi teşekkür ederim”
Turkcell Htp Click N Pay,“Teşekkürler hızlı çözüldü başarılı”
Turkcell Haksız Yere Talep Edilen Tyg Ücreti,"“Sorunum çözüldü 
İlgilendikleri ve çözüm merkezli yaklaşımı için Turkcell e teşekkür ederim”"
Turkcell GNC Her Zaman Aynı Şey Geliyor,“Teşekkür ederim”
Turkcell KVKK İhlali Fatura Ödeme İptali,"“Buradan belirtmiş olduğum mağduriyeti dikkate alıp para iadesi sağlandığı için teşekkür ediyorum. Faturaya müdahale edilemediği için bir sonraki aydan düşüleceği bilgisi iletildi. Nedenini bilmiyorum ama iade kısmen gerçekleşecek sanırım (258 TL'nin 229 lirası iade edilecekmiş). Onunla ilgili de bilgi verilirse sevinirim, ama gelişmeler yine de memnuniyet verici. Teşekkürler...”"
Turkcell İletişim Hizmetleri Anonim Şirketi Özlem Birsev,“Para iadesi gerçekleştirildi. Teşekkürler...”
Turkcell Fatura Sorunu,“Para iadesi için teşekkür ediyor bir daha Paycell ücretiyle uğraştırmamalarını umuyorum”
Turkcell Kullanmadığım Takdirde Faturam Yüksek Geldi,“Turkcell kısa sürede yaşanan problem için geri dönüş yaptı ve iade işlemini gerçekleştirdi. Teşekkürler”
Turkcell Kullandığım İçin Pişmanım.,“İlginiz için teşekkürler ediyorum”
Allien Mobi Turkcell Faturama Sahte Üyelik Ücreti Yansıttı,“Turkcell müşteri hizmetleri sorunumu giderdi teşekkür ederim”
