title,description
Turkcell İnternet Paketiniz Bitti İle Paketin Esnemesi Uyarısı Zamansız Geliyor,"Benim internetim kullanılmadığı halde 10 gün içinde bitmiş diye mesaj geliyor. Ben bu hattı 25 yıldır kullanıyorum ve her ay aynı sorunu yaşıyorum. Ben sizin Turkcell'den çıkıp başka bir hatta geçeceğim, bilginiz olsun. Benim 3 hattım var, hepsini de başka bir hatta taşıyacağım."
Turkcell Yüksek Fiyat Ve Hızlı Tükenen İnternet Paketi,"15 GB'lık paketim geçen ay paket yenilemesine 10 gün kala bitti. Bu ay ise 25'inde yenilenen paketim 3 günde bitti, şaka gibi değil mi? 3 günde 12 GB nasıl biter dedim. Müşteri hizmetleri 'Kullanmışsınız kardeşim, geçmiş olsun' dedi. Üstelik 5G falan değil, LTE, 3G, 2G seçili ve evde Wi-Fi'ye bağlı iken bir sabah uyandım, internet bitmiş. Aşağıya 3 günlük kullanım detaylarını bırakıyorum, siz karar verin. Bu arada telefon uygulamalarım arka planda, daha doğrusu ben açmadan çalışmıyor. Şimdi en yakın eski operatörüme giderek taahhütnameyi iptal edeceğim. İlk defa geldiğim Turkcell'e veda ediyorum. Ek olarak, konuyu Turkcell olarak çözümlemenizi bekliyorum. Az önce arkadaşınız aradı ve anlattı. Kullanmadığım paketin nasıl bittiğini anlamış değilim."
Turkcell Kredi Kartı İle Ek Paket Alma,Haziran ayı içerisinde İstanbul Turkcell bayilerinden birisinden biten taahhüdümü yenilemek için başvurdum. Bana sunulan aylık 10 GB interneti olan paketlerden birisini tercih ettim. Fakat temmuz ayı içerisinde 120 GB kotanızın... Bu kadarı kullanıldı bu kadar kaldı diye bir mesajla yıllık pakete abone yapıldığımı tespit ettim. İşlemi yapan bayi bana hiçbir şekilde yıllık pakete abone olduğumu bildirmedi. Yılda sadece temmuz ve ağustos aylarında şehir dışında mobil internet ihtiyacım bulunmakta. Kotamı aşma durumunda ise ek paket alarak işimi görmekteydim. Fakat Turkcell bana yıllık olarak tanımladığı kotanın 3 aylık süre içerisinde kotasını aştığım için de internetimi kesti. 3 ay dolmadan da internetimin hiçbir şekilde açılmayacağını bildirdiler. Haberim olmadan yıllık abone yapıp yıl içerisinde de kendi kendine kota koyan Turkcell beni mağdur etti. Kendilerinden ayrıca hukuki yollardan da hakkımı arayacağımı bildiririm.
Turkcell Hız Kısıtı Sorunu,Turkcell mobil 4 5g internet hız sorunu. Bazı saatlerde çekim gücü düşmemesine rağmen internet hızı ciddi şekilde düşüyor kasıtlı hız düşürme uygulandığını düşünüyorum. Bu sorunla alakalı defalarca şikayette bulunmama rağmen sorununuz çözüldü deyip şikayeti kapatıyorlar.
Turkcell Fazla Para Çekme,"Hotspot'u internet paketi diye satın aldım, iptal etmek istiyorum. Yapıyorum ama üyeliğiniz yoktur diyor, ne saçma bir şey anlamadım. Paket iptal olmuyor. Hotspot yüzünden kendi paketimin interneti de bitti. Maalesef mağduriyetimin giderilmesini istiyorum. En kısa sürede dönüş yaparsanız umarım."
Turkcell İnternet Çekmiyor Ve Telefonla Konuşma Yapılamıyor.,"25 GB alıyorum, 530 liraya. 25 GB'nin nasıl bittiğini anlamıyorum bile. 5 günde hemen bitiyor ve sadece akşamları internete girmeme rağmen nasıl bir şey hala anlamış değilim. Hem pahalı hem çabuk biten internet. Bu gidişle hattımı değiştireceğim, zaten memnun değilim."
Turkcell Paket Fiyatları Düşürün,27.07.2024 ve 28.07.2024 tarihlerinde kullanmak istediğim 2.000 megabayt hattıma 2 GB olarak tanımlanması durumunu sıklıkla yaşıyorum. Bu durumdan şikayetçiyim. Bunu birçok yakınım yaşıyor ve bu sadece Turkcell operatörü üzerinde yaşanıyor. Diğer operatörlerde hiçbir sorun yaşanmıyor.
Turkcell'de Sürekli Yaşanan İnternet Sorunu,"Akşam uyumadan önce 11 GB internetim varken sabah kalktığımda 'internetiniz bitti' diye mesaj geliyor. Böyle bir saçmalık olur mu? Telefonum kapalı olduğu halde 11 GB internet nasıl biter? Turkcell müşteri hizmetlerini aradığımda 'kullanmışsınız' diyor, şaka gibi. CİMER'e de aynı şikayeti yapacağım. Müşteri hizmetleri yardımcı olmak bile istemiyor. Yıllardır Turkcell kullanıyoruz. Bir an önce bu sorunun çözülmesini talep ediyorum."
Turkcell'E Geçtim Çok Pişman Oldum,"Turkcell hattımın interneti bitince ek paket almak için mobil uygulamadan sattığı ve açıklama olarak 'bu paketi size satıyoruz ancak bunu siz kullanamaz başka hat için işlem yapabilirsiniz' benzeri bir uyarı vermeden (hatta işlem yaptığım hattın numarası otomatik olarak çıkıyor) satıyor, faturaya yansıtıyor ama alınan paketi kullanamayınca müşteri hizmetleri 'bu paketi satın almışsınız ama siz kullanamaz başkasına açabilirsiniz' dedi. Madem ben işlem yaptığım hat için kullanamayacaksam bunu neden satış şartnamesinde belirtmediniz? Madem sattınız iptal edin. Faturadan düşün deyince 'ama 50 MB kullanmışsınız iptal olmaz artık' diyor. Karar ver Turkcell, hani ben kullanamamıyordum bu paketi bana bir uyarı yapmadan sattın, iptal et deyince ama 50 MB kullanmışsın diyor. Ya paketin parasını faturadan düşün ya da aldığım paketi kullanayım. Bir de üstüne internetiniz bitmiş size ek paket verelim mi diyor. Mahalle bakkalı amca gibi 'satılan geri alınmaz', 'alırdım ama ucundan açmışsın' nasıl bir anlayış pes."
Turkcell İnternet Paketi Hızlı Bitmekte,"Turkcell artık çekilmez hale geldi. Aylık 1000 TL fatura ödüyorum ve ailecek 5 hat aylık ödememiz 2500-3000 TL'yi buluyor. En düşük paket 500-600 lira olmuş. Şimdi de aylık 50 TL'ye aldığım sınırsız yönlendirme paketine 100 çağrı ile sınır koymuşlar ve 100'den sonra çağrı başı 10 TL keseceklermiş! Yazıklar olsun, bu kadar insafsızlık olmaz!"
